name,eirp
Ka-band Europe C beam,48
Ku-band Europe A beam,48
Ka-band Europe C beam,48
Ku-band Europe A beam,48
Ku-band Europe A beam,48
Ku-band Europe A beam,48
Ka-band Europe C beam,48
Ku-band Europe A beam,48
Ka-band Europe C beam,48
Ka-band Europe C beam,48
Ku-band Europe A beam,48
Ka-band Europe C beam,48
Ka-band Europe C beam,48
Ka-band Europe C beam,48
Ku-band Africa beam,0
Ku-band Africa beam,0
Ku-band Africa beam,0
Ku-band Africa beam,0
Ku-band Africa beam,0
Ku-band Africa beam,0
Ku-band Africa beam,0
Ku-band Europe Beam,44
Ku-band European Beam,47
Ku-band European Beam,47
Ka-band Europe Beam,0
Ku-band European Beam,47
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ku-band European Beam,47
Ku-band European Beam,47
Ku-band European Beam,47
Ku-band European Beam,47
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ku-band European Beam,47
Ku-band FSS Beam,47
Ka-band Europe Beam,0
Ku-band FSS Beam,47
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ka-band Europe Beam,0
Ku-band FSS Beam,47
Ku-band FSS Beam,47
Ku-band FSS Beam,47
Ka-band Europe Beam,0
Ku-band FSS Beam,47
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ku-band FSS Beam,47
Ku-band Europe Beam,44
Ka-band Europe Beam,0
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ku-band FSS Beam,47
Ku-band Europe Beam,44
Ku-band FSS Beam,47
Ku-band Europe Beam,44
Ku-band FSS Beam,47
Ku-band Europe Beam,44
Ku-band Wide Beam,44
Ku-band FSS Beam,47
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ku-band FSS Beam,47
Ka-band Europe Beam,0
Ku-band FSS Beam,47
Ku-band FSS Beam,47
Ku-band European Beam,47
Ku-band Wide Beam,44
Ku-band Wide Beam,44
Ku-band Europe Beam,44
Ku-band Europe Beam,44
Ku-band Wide Beam,44
Ku-band Wide Beam,44
Ku-band Wide Beam,44
Ku-band Wide Beam,44
Ku-band Wide Beam,44
Ku-band Pan-European beam,44
Ku-band Wide Beam,44
Ku-band Wide Beam,44
Ku-band Pan-European beam,44
Ku-band Wide Beam,44
Ku-band Pan-European beam,44
Ku-band Wide Beam,44
Ku-band Wide Beam,44
Ku-band Wide Beam,44
Ku-band Pan-European beam,44
Ku-band Pan-European beam,44
Ku-band Pan-European beam,44
Ku-band Wide Beam,44
Ku-band European Beam,47
Ku-band Pan-European beam,44
Ku-band European Beam,47
Ku-band European Beam,47
Ku-band Pan-European beam,44
Ku-band European Beam,47
Ku-band Pan-European beam,44
Ku-band European Beam,47
Ku-band Pan-European beam,44
Ku-band Pan-European beam,44
Ku-band Pan-European beam,44
Ku-band European Beam,47
Ku-band Pan-European beam,44
Ku-band European Beam,47
Ku-band Pan-European beam,44
Ku-band European Beam,47
Ku-band European Beam,47
Ku-band European Beam,47
Ku-band FSS Beam,47
Ku-band FSS Beam,47
Ku-band Pan-European beam,44
Ku-band FSS Beam,47
Ku-band Pan-European beam,44
Ku-band FSS Beam,47
Ku-band Pan-European beam,44
Ku-band Pan-European beam,44
Ka-band Europe Beam,0
C-band Wide beam,38
C-band Wide beam,38
C-band Wide beam,38
C-band Wide beam,38
C-band Wide beam,38
C-band Wide beam,38
C-band Wide beam,38
C-band Wide beam,38
C-band Wide beam,38
C-band Wide beam,38
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band North East Africa/Asia beam,0
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band North East Africa/Asia beam,0
Ku-band North-West Africa Europe beam,0
Ku-band North-West Africa Europe beam,0
Ku-band North-West Africa Europe beam,0
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band Wide beam,44
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ka-band Europe Beam,0
Ku-band European Beam,0
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band European Beam,0
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ka-band Europe Beam,0
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band European Beam,0
Ku-band Pan-European Beam,42
Ku-band Pan-European Beam,42
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band Pan-European Beam,42
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band Pan-European Beam,42
Ku-band European Beam,0
Ku-band Pan-European Beam,42
Ku-band European Beam,0
Ku-band European Beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band East beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
Ku-band MENA beam,0
